motive,description,typical_machine_substitution,diagnostic_question
economic,earn income or rents,usually high,Would I still do this if output price were zero?
instrumental,achieve an external practical goal,high,Is there a cheaper route to the same goal?
mastery,become capable through practice,low-medium,Does machine superiority reduce the joy of mastery?
play,explore for its own sake,low,Would I do it without an audience?
identity,be/become a kind of person,low-medium,Is identity tied to superiority or participation?
social,"belong, synchronize, collaborate",low-medium,Can a machine replace the relationship or only the artifact?
status,signal scarce competence/position,medium-high,Does status migrate to a new scarce dimension?
communication,transmit a state/model/message,medium,Is creator identity part of the message?
witness,testify that a person experienced something,low,Does provenance matter to truth/value?
embodiment,use/train the body and senses,low-medium,Is bodily participation itself the goal?
autonomy,retain direct capability/resilience,medium,What happens when the automated system fails?
care,help a particular being in a relationship,medium,Is relational accountability part of value?
transcendence,"meaning, ritual, spiritual practice",low,Is optimization even the relevant frame?
